ID,ZIP,Latitude,Longitude,City,State,County,Zip,Country,Congressional District
8083,7928,40.74093,-74.38376,Chatham,NJ,Morris County,7928,US,NJ11
8084,94579,37.688518,-122.147425,San Leandro,CA,Alameda County,94579,US,CA12
8085,48182,41.790497,-83.584998,Temperance,MI,Monroe County,48182,US,MI5
8086,58329,48.856083,-100.024102,Dunseith,ND,Rolette County,58329,US,ND0
8087,29070,33.895434,-81.423918,Leesville,SC,Lexington County,29070,US,SC2
8088,35475,33.39924,-87.559894,Northport,AL,Tuscaloosa County,35475,US,AL4
8089,38363,35.697465,-88.111755,Parsons,TN,Decatur County,38363,US,TN7
8090,78746,30.2971,-97.818113,Austin,TX,Travis County,78746,US,TX37
8091,92392,34.480247,-117.408186,Victorville,CA,San Bernardino County,92392,US,CA23
8092,14204,42.882957,-78.864898,Buffalo,NY,Erie County,14204,US,NY26
8093,84097,40.297153,-111.670519,Orem,UT,Utah County,84097,US,UT3
8094,43968,40.650362,-80.692008,Wellsville,OH,Columbiana County,43968,US,OH6
8095,58486,47.421182,-99.404828,Sykeston,ND,Wells County,58486,US,ND0
8096,7832,40.92621,-75.09268,Columbia,NJ,Warren County,7832,US,NJ7
8097,47933,40.042425,-86.893538,Crawfordsville,IN,Montgomery County,47933,US,IN4
8098,98562,47.2362,-124.21296,Moclips,WA,Grays Harbor County,98562,US,WA6
8099,54491,45.248003,-88.803154,White Lake,WI,Langlade County,54491,US,WI7
8100,63359,39.104548,-91.382863,Middletown,MO,Montgomery County,63359,US,MO6
8101,42754,37.460336,-86.324894,Leitchfield,KY,Grayson County,42754,US,KY2
8102,58425,47.44444,-98.12398,Cooperstown,ND,Griggs County,58425,US,ND0
8103,90623,33.8464,-118.04673,La Palma,CA,Orange County,90623,US,CA45
8104,55316,45.176914,-93.397481,Champlin,MN,Hennepin County,55316,US,MN3
8105,53063,43.957599,-87.792815,Newton,WI,Manitowoc County,53063,US,WI6
8106,65068,38.819678,-92.606295,Prairie Home,MO,Cooper County,65068,US,MO3
8107,80525,40.529646,-105.036788,Fort Collins,CO,Larimer County,80525,US,CO2
8108,11717,40.780882,-73.250336,Brentwood,NY,Suffolk County,11717,US,NY2
8109,55720,46.72417,-92.46389,Cloquet,MN,Carlton County,55720,US,MN8
8110,71037,32.53265,-93.50406,Haughton,LA,Bossier Parish,71037,US,LA4
8111,76825,31.150939,-99.337237,Brady,TX,McCulloch County,76825,US,TX11
8112,70520,30.31714,-92.04901,Carencro,LA,Lafayette Parish,70520,US,LA3
8113,14424,42.813576,-77.289687,Canandaigua,NY,Ontario County,14424,US,NY24
8114,55768,47.454993,-92.686192,Mountain Iron,MN,St. Louis County,55768,US,MN8
8115,58251,47.911531,-97.626389,Larimore,ND,Grand Forks County,58251,US,ND0
8116,72011,34.509071,-92.482828,Bauxite,AR,Saline County,72011,US,AR2
8117,48315,42.671025,-82.998811,Utica,MI,Macomb County,48315,US,MI10
8118,79930,31.809457,-106.464242,El Paso,TX,El Paso County,79930,US,TX16
8119,93015,34.393387,-118.864285,Fillmore,CA,Ventura County,93015,US,CA26
8120,8098,39.586,-75.379897,Woodstown,NJ,Salem County,8098,US,NJ2
8121,26137,38.98536,-81.07206,Big Springs,WV,Calhoun County,26137,US,WV1
8122,17603,40.009147,-76.367132,Lancaster,PA,Lancaster County,17603,US,PA11
8123,72152,34.363527,-91.927642,Sherrill,AR,Jefferson County,72152,US,AR4
8124,65486,38.108574,-92.31017,Iberia,MO,Miller County,65486,US,MO3
8125,49461,43.345831,-86.327092,Whitehall,MI,Muskegon County,49461,US,MI2
8126,40219,38.138118,-85.69526,Louisville,KY,Jefferson County,40219,US,KY3
8127,53210,43.071111,-87.973786,Milwaukee,WI,Milwaukee County,53210,US,WI4
8128,50581,42.80914,-94.52664,Rolfe,IA,Pocahontas County,50581,US,IA4
8129,54757,45.20413,-91.55822,New Auburn,WI,Chippewa County,54757,US,WI7
8130,52043,42.842609,-91.408507,Elkader,IA,Clayton County,52043,US,IA2
8131,78045,27.63573,-99.592284,Laredo,TX,Webb County,78045,US,TX28
8132,55902,43.971216,-92.507101,Rochester,MN,Olmsted County,55902,US,MN1
8133,46947,40.77927,-86.375168,Logansport,IN,Cass County,46947,US,IN4
8134,35951,34.322334,-86.193529,Albertville,AL,Marshall County,35951,US,AL4
8135,95020,37.023347,-121.493849,Gilroy,CA,Santa Clara County,95020,US,CA18
8136,58647,46.53918,-102.86822,New England,ND,Hettinger County,58647,US,ND0
8137,58072,46.972286,-98.007534,Valley City,ND,Barnes County,58072,US,ND0
8138,17224,39.91481,-77.90472,Fort Loudon,PA,Franklin County,17224,US,PA13
8139,14424,42.813576,-77.289687,Canandaigua,NY,Ontario County,14424,US,NY24
8140,34481,29.128062,-82.297544,Ocala,FL,Marion County,34481,US,FL3
8141,53105,42.692103,-88.228793,Burlington,WI,Racine County,53105,US,WI1
8142,78516,26.18369,-98.12306,Alamo,TX,Hidalgo County,78516,US,TX34
8143,99686,61.13083,-146.34833,Valdez,AK,Chugach Census Area,99686,US,AK0
8144,77625,30.361001,-94.37408,Kountze,TX,Hardin County,77625,US,TX36
8145,46928,40.41532,-85.65053,Fairmount,IN,Grant County,46928,US,IN5
8146,70529,30.187978,-92.168953,Duson,LA,Lafayette Parish,70529,US,LA3
8147,48846,42.973427,-85.090548,Ionia,MI,Ionia County,48846,US,MI2
8148,65068,38.819678,-92.606295,Prairie Home,MO,Cooper County,65068,US,MO3
8149,65344,39.321402,-93.226114,Miami,MO,Saline County,65344,US,MO4
8150,26335,38.777546,-80.656974,Burnsville,WV,Braxton County,26335,US,WV1
8151,60042,42.27179,-88.188464,Island Lake,IL,Lake County,60042,US,IL11
8152,65068,38.819678,-92.606295,Prairie Home,MO,Cooper County,65068,US,MO3
8153,89043,37.92969,-114.45221,Pioche,NV,Lincoln County,89043,US,NV4
8154,58559,47.501822,-100.758394,Mercer,ND,McLean County,58559,US,ND0
8155,31516,31.326324,-82.271206,Blackshear,GA,Pierce County,31516,US,GA1
8156,27242,35.29154,-79.65281,Eagle Springs,NC,Moore County,27242,US,NC9
8157,8825,40.52621,-75.06156,Frenchtown,NJ,Hunterdon County,8825,US,NJ7
8158,51501,41.23238,-95.875086,Council Bluffs,IA,Pottawattamie County,51501,US,IA4
8159,68663,41.303844,-97.723453,Silver Creek,NE,Merrick County,68663,US,NE3
8160,71047,32.33321,-93.83629,Keithville,LA,Caddo Parish,71047,US,LA4
8161,84737,37.145366,-113.367458,Hurricane,UT,Washington County,84737,US,UT2
